point_number,x,y,z
1,0.4629483885453588,0.08421116222254627,0.15790085232417594
2,0.4571138954896558,0.06843802601098276,0.14701586064701772
3,0.5117462795175501,0.1489299249087266,0.15692946919414896
4,0.5115526573243419,0.16684529747547777,0.20736616249391893
5,0.5629163901575459,0.09288017972529525,0.15841910143570145
6,0.5640013920268965,0.07497130202312832,0.21009688825647604
7,0.6077908164277227,0.15420321843667967,0.12951601872507632
8,0.6057778389866071,0.16832968710420715,0.15819362347950988
9,0.6612840947346995,0.09133347596772115,0.1524219764432464
10,0.6597825865671487,0.06743734867842749,0.19414386647862109
