point_number,x,y,z
1,0.4622152921727922,-0.020126781845577257,0.15733858326372965
2,0.4549847096983749,-0.03665321740201519,0.14627566016360705
3,0.5124226128750213,0.04135150007917672,0.15707784206307307
4,0.5137676302907308,0.06109970638655868,0.20591838266731277
5,0.5620160689429204,-0.014232092864179535,0.15346453049120157
6,0.5547130687606452,-0.03544839722725315,0.1471244107700701
7,0.6126195918016009,0.048076801191927504,0.15759783351498424
8,0.6114994470878294,0.06888828909762268,0.19464207119403637
9,0.6623773573504146,-0.020084892526636616,0.1581109177340567
10,0.6556103297218158,-0.044364326640463705,0.1528483614273357

