Measured Point,Measurement Number,Optimized_s,Force_Amplitude,Collided_Link_Index,Link_Length_m
1,1,0.426,21.125,2,0.531
1,2,0.426,16.649,2,0.531
1,3,0.537,108.171,3,0.669
1,4,0.426,32.036,2,0.531
1,5,0.500,42.074,3,0.623
1,6,0.426,34.694,2,0.531
1,7,0.612,95.888,4,0.763
1,8,0.500,77.138,3,0.623
1,9,0.537,59.396,3,0.669
1,10,0.537,147.548,3,0.669
1,11,0.537,86.005,3,0.669
1,12,0.426,3.173,2,0.531
1,13,0.607,12.577,4,0.757
1,14,0.537,150.109,3,0.669
1,15,0.537,181.871,3,0.669
