Measured Point,Measurement Number,Optimized_s,Force_Amplitude,Collided_Link_Index,Link_Length_m
1,1,0.647,41.463,4,0.806
1,2,0.837,1.074,5,1.043
1,3,0.639,219.835,4,0.796
1,4,0.809,1.563,5,1.008
1,5,0.670,36.383,4,0.834
1,6,0.642,89.640,4,0.799
1,7,0.680,25.025,4,0.848
1,8,0.635,226.842,4,0.791
1,9,0.668,175.393,4,0.833
1,10,0.669,114.593,4,0.833
1,11,0.735,49.892,4,0.915
1,12,0.537,347.118,3,0.669
1,13,0.631,193.090,4,0.786
1,14,0.537,126.431,3,0.669
1,15,0.537,201.863,3,0.669
