Measured Point,Measurement Number,Optimized_s,Force_Amplitude,Collided_Link_Index,Link_Length_m
1,1,0.426,986.920,2,0.531
1,2,0.426,17.183,2,0.531
1,3,0.537,97.502,3,0.669
1,4,0.278,615.629,2,0.346
1,5,0.278,922.753,2,0.346
1,6,0.426,26.502,2,0.531
1,7,0.426,26.306,2,0.531
1,8,0.537,65.862,3,0.669
1,9,0.426,26.598,2,0.531
1,10,0.426,20.419,2,0.531
1,11,0.500,62.372,3,0.623
1,12,0.537,59.830,3,0.669
1,13,0.537,169.390,3,0.669
1,14,0.426,22.929,2,0.531
1,15,0.656,767.078,4,0.817
