point_number,x,y,z
1,0.4611963396983425,-0.1357717542981518,0.15663135505006673
2,0.46108092741250367,-0.15091308701358772,0.20667136582732035
3,0.512495178064358,-0.06293405734291913,0.15747622748394774
4,0.511663819677329,-0.038477885751680735,0.19278760346502194
5,0.5622453031316886,-0.11500420787855174,0.15708701840473555
6,0.5628233469747018,-0.13384364657264916,0.2083811782698632
7,0.612259602958418,-0.05990416491990594,0.15781677063824426
8,0.6145944414852713,-0.034088731770909986,0.21035859093296644
9,0.6622134467247236,-0.11598670719953559,0.15735867906850504
10,0.6543937354462583,-0.135773725177071,0.14694097310548165
