Measured Point,Measurement Number,Optimized_s,Collided_Link_Index ,Link_Length_m
1,1,0.823,5,1.026
1,2,0.810,5,1.009
1,3,0.811,5,1.010
1,4,0.824,5,1.027
1,5,0.827,5,1.031
1,6,0.827,5,1.030
1,7,0.821,5,1.023
1,8,0.793,5,0.988
1,9,0.811,5,1.011
1,10,0.789,5,0.982
1,11,0.799,5,0.995
1,12,0.824,5,1.026
1,13,0.832,5,1.037
1,14,0.831,5,1.036
1,15,0.814,5,1.015
