Measured Point,Measurement Number,Optimized_s,Force_Amplitude,Collided_Link_Index,Link_Length_m
1,1,0.475,33.436,3,0.592
1,2,0.500,44.553,3,0.623
1,3,0.500,36.603,3,0.623
1,4,0.389,46.224,2,0.484
1,5,0.537,20.755,3,0.669
1,6,0.500,15.860,3,0.623
1,7,0.615,14.198,4,0.766
1,8,0.626,20.715,4,0.780
1,9,0.632,12.446,4,0.787
1,10,0.352,92.751,2,0.438
1,11,0.352,49.680,2,0.438
1,12,0.605,14.601,4,0.753
1,13,0.618,12.535,4,0.770
1,14,0.625,7.395,4,0.779
1,15,0.641,15.118,4,0.798
