point_number,x,y,z
1,0.47860626259768435,0.07788676967776778,0.15299379812586972
2,0.43693212474151416,0.05838118720467131,0.19273722845599095
3,0.5660837657423667,0.0767029822558329,0.15333160868551168
4,0.5795467134995547,0.06780310047101311,0.19047327145188292
