point_number,x,y,z
1,0.476919686409258,-0.0054461876855557145,0.15289718860055695
2,0.4412168965539895,-0.003194292712456165,0.19324026339747985
3,0.5722364856059622,-0.0370871665126673,0.15257374918541822
4,0.5881957301654144,-0.017514707077671263,0.19363587834133555
